rec_id,name_program,name_dba,address,city,state_usa,zipcode,phone,certification_status,date_full_certification,date_firstfind,date_lastfind,data_review
6,North Philadelphia Health System-Goldman,,Girard Medical Center 801 W. Girard Avenue,Philadelphia,PA,19122,215-787-2080,Certified,2006-06-15,2019-12-24,2021-01-16,
12,Achievement Through Counseling and Treatment (ACT 1),,5820 Old York Rd.,Philadelphia,PA,19141,215-276-8400,Certified,2005-09-12,2019-12-24,2021-01-16,
8,Merakey Parkside Recovery,,5000 Parkside Ave.,Philadelphia,PA,19131,215-879-6116,Certified,2004-01-01,2019-12-24,2021-01-16,
18,SOAR,,9150 Marshall Street,Philadelphia,PA,19115,215-464-4450,Certified,2008-11-07,2019-12-24,2021-01-16,
13,Kensington Hospital Outpatient Treatment Program,Kensington Hospital Outpatient Treatment Program,2100 North Front Street,Philadelphia,PA,19122,215-426-8100,Certified,2006-08-01,2019-12-24,2021-01-16,
11,"Northeast Treatment Centers, Inc.",NET Steps,2205 Bridge St.,Philadelphia,PA,19137,215-743-6150,Certified,2004-05-06,2019-12-24,2021-01-16,
1,"Addiction Medicine and Health Advocates, Inc.","AMHA, Inc.",928 Market Street,Philadelphia,PA,19107-4220,215-923-4202,Certified,2006-06-07,2019-12-24,2021-01-16,
20,"Self Help Movement, Inc.",,2600 Southampton Road,Philadelphia,PA,19116,215-677-7778,Provisional,,2020-09-09,2021-01-16,
4,Narcotic Addict Rehabilitation Program of Thomas Jefferson University,,"NE Corner, 21st St. & Washington Ave.",Philadelphia,PA,19146,215-790-9942,Certified,2006-10-12,2019-12-24,2021-01-16,
9,Kirkbride Center - A Better Way,,111 North 49th St.,Philadelphia,PA,19139,215-471-2600,Certified,2005-10-24,2019-12-24,2021-01-16,
2,Achievement Through Counseling and Treatment (ACT II),,1745 North Fourth St.,Philadelphia,PA,19122,215-236-0100,Certified,2005-09-12,2019-12-24,2021-01-16,
10,Mercy Philadelphia Hospital,,501 South 54th St.,Philadelphia,PA,19143,215-748-9391,Certified,2003-07-16,2019-12-24,2021-01-16,
5,VAMC Opioid Treatment Program,,"38th and Woodland Ave., Bldg. 3",Philadelphia,PA,19104,215-823-5809,Certified,2006-02-02,2019-12-24,2021-01-16,
15,"Northeast Treatment Centers, Inc",NET Steps II,7520 State Road,Philadelphia,PA,19136,267-348-3550,Certified,2016-11-18,2019-12-24,2021-01-16,
16,John F. Kennedy Drug Treatment Clinic,,907 North Broad St.,Philadelphia,PA,19123,215-235-5520,Certified,2004-02-01,2019-12-24,2021-01-16,
21,"Men & Women for Human Excellence, Inc. (MWFHE) Opioid Treatment Program (MWFHE - OTP)",,2603 W Cecil B. Moore Avenue,Philadelphia,PA,19121,267-639-9265,Provisional,,2021-01-16,2021-01-16,
7,"The Consortium, Inc.",Drug Abuse Rehabilitation Program (D.A.R.P.),451 University Ave.,Philadelphia,PA,19104,215-596-8000,Certified,2004-02-01,2019-12-24,2021-01-16,
14,Merakey Parkside Recovery,Merakey Parkside Recovery- Germantown,5429 Germantown Ave.,Philadelphia,PA,19144,215-754-0246,Certified,2008-04-14,2019-12-24,2021-01-16,
17,The Healing Way,THW Group - The Healing Way,7900 Frankford Avenue,Philadelphia,PA,19136,215-335-3520,Certified,2016-02-16,2019-12-24,2021-01-16,
19,"Northeast Treatment Centers, Inc",North East Treatment Centers,499 North 5th Street,Philadelphia,PA,19123,215-451-7000,Certified,2017-12-20,2019-12-24,2021-01-16,
3,Family Center,Family Center,1233 Locust Street,Philadelphia,PA,19107,215-955-8577,Certified,2006-08-31,2019-12-24,2021-01-16,ZIP typo: corrected 19007 to 19107 (missed in 2020 due to error)
